"modulo","comment","unidade","round"
"fluxograma","original",3843,"1.543"
"fluxograma","original",7433,"1.998"
"fluxograma","original",8380,"1.701"
"fluxograma","original",13325,"1.283"
"fluxograma","original",14009,"0.396"
"fluxograma","original",14013,"0.294"
"fluxograma","original",17384,"1.325"
"fluxograma","original",18007,"0.356"
"fluxograma","original",18104,"1.909"
"fluxograma","original",18228,"0.877"
"fluxograma","original",44508,"6.738"
"fluxograma","optimized",3843,"0.188"
"fluxograma","optimized",7433,"0.260"
"fluxograma","optimized",8380,"0.215"
"fluxograma","optimized",13325,"0.170"
"fluxograma","optimized",14009,"0.045"
"fluxograma","optimized",14013,"0.033"
"fluxograma","optimized",17384,"0.200"
"fluxograma","optimized",18007,"0.040"
"fluxograma","optimized",18104,"0.241"
"fluxograma","optimized",18228,"0.115"
"fluxograma","optimized",44508,"0.544"
"corregedoria","original",3843,"1.558"
"corregedoria","original",7433,"2.025"
"corregedoria","original",8380,"1.811"
"corregedoria","original",13325,"1.273"
"corregedoria","original",14009,"0.399"
"corregedoria","original",14013,"0.303"
"corregedoria","original",17384,"1.313"
"corregedoria","original",18007,"0.351"
"corregedoria","original",18104,"1.958"
"corregedoria","original",18228,"0.867"
"corregedoria","original",44508,"6.776"
"corregedoria","optimized",3843,"0.195"
"corregedoria","optimized",7433,"0.254"
"corregedoria","optimized",8380,"0.225"
"corregedoria","optimized",13325,"0.182"
"corregedoria","optimized",14009,"0.046"
"corregedoria","optimized",14013,"0.033"
"corregedoria","optimized",17384,"0.160"
"corregedoria","optimized",18007,"0.038"
"corregedoria","optimized",18104,"0.246"
"corregedoria","optimized",18228,"0.118"
"corregedoria","optimized",44508,"0.546"
