"unidade","comment","total_size","total_size_in_mb"
44508,"original","356253696","340 MB"
8380,"original","127533056","122 MB"
18104,"original","137953280","132 MB"
17384,"original","90472448","86 MB"
14013,"original","21200896","20 MB"
3843,"original","106094592","101 MB"
7433,"original","140099584","134 MB"
14009,"original","27213824","26 MB"
18228,"original","65568768","63 MB"
13325,"original","92405760","88 MB"
18007,"original","20267008","19 MB"
44508,"optimized","1120501760","1069 MB"
8380,"optimized","442769408","422 MB"
18104,"optimized","502358016","479 MB"
17384,"optimized","351043584","335 MB"
14013,"optimized","66641920","64 MB"
3843,"optimized","375668736","358 MB"
7433,"optimized","511713280","488 MB"
14009,"optimized","89153536","85 MB"
18228,"optimized","231161856","220 MB"
13325,"optimized","334102528","319 MB"
18007,"optimized","75440128","72 MB"
